price,volume,cap,circ_supply,act_supply,big_wallets,add_count,deposits,withdrawls,TPS,stock_diff,crypy_diff,stock_price
16864.72,3780000000.0,324000000000.0,9226200.0,17452814.25,19031808.79,3313726.0,345000000.0,404000000.0,3.09,-56.340000000000146,-133.97999999999956,10958.55
16998.7,3650000000.0,327000000000.0,9225300.0,17451810.34,19032238.27,3333862.0,352000000.0,406000000.0,3.06,-225.0500000000011,-179.84999999999854,11014.89
17178.55,4010000000.0,330000000000.0,9224431.0,17451028.31,19030561.63,3354720.0,363000000.0,348000000.0,3.16,0.0,152.55999999999767,11239.94
17025.99,2740000000.0,327000000000.0,9223600.0,17450129.83,19030447.55,3401769.0,151000000.0,178000000.0,2.51,0.0,53.76000000000204,11239.94
16972.23,2250000000.0,326000000000.0,9222787.0,17449296.8,19027616.69,3441848.0,158000000.0,244000000.0,2.89,-221.5599999999995,12.090000000000146,11239.94
16960.14,3220000000.0,326000000000.0,9221993.0,17448495.05,19028098.99,3438671.0,291000000.0,343000000.0,3.14,-20.950000000000728,-100.45000000000073,11461.5
17060.59,3820000000.0,328000000000.0,9221037.0,17447287.14,19026828.27,3397426.0,517000000.0,516000000.0,3.32,14.450000000000728,152.11000000000058,11482.45
16908.48,5010000000.0,325000000000.0,9220143.0,17446548.0,19027232.32,3423653.0,531000000.0,600000000.0,3.15,484.21999999999935,505.6399999999994,11468.0
16402.84,3630000000.0,315000000000.0,9219350.0,17445619.4,19019656.85,3394467.0,387000000.0,338000000.0,3.15,-65.71999999999935,202.98999999999978,10983.78
16199.85,3810000000.0,311000000000.0,9218468.0,17444847.02,19017043.04,3422255.0,290000000.0,2480000000.0,3.01,0.0,-324.3000000000011,11049.5
16524.15,2130000000.0,318000000000.0,9217650.0,17444133.62,19017384.84,3474160.0,196000000.0,202000000.0,2.59,0.0,-32.469999999997526,11049.5
16556.62,2410000000.0,318000000000.0,9216950.0,17443270.96,19016190.62,3509101.0,226000000.0,214000000.0,2.67,-176.86000000000058,74.18999999999869,11049.5
16482.43,2820000000.0,317000000000.0,9216168.0,17442710.74,19016227.87,3528099.0,437000000.0,320000000.0,3.04,0.0,-114.27999999999884,11226.36
16596.71,2540000000.0,319000000000.0,9215350.0,17441703.84,19016221.14,3521101.0,359000000.0,370000000.0,2.9,-58.95999999999913,131.02000000000044,11226.36
16465.69,3150000000.0,316000000000.0,9214512.0,17441043.25,19015171.41,3579541.0,535000000.0,528000000.0,3.14,110.90999999999985,510.5199999999986,11285.32
15955.17,3120000000.0,307000000000.0,9213700.0,17440306.04,19010888.39,3596789.0,447000000.0,451000000.0,2.98,149.89999999999964,-27.100000000000364,11174.41
15982.27,3790000000.0,307000000000.0,9212868.0,17439405.27,19006976.23,3600805.0,493000000.0,648000000.0,3.11,0.0,-533.25,11024.51
16515.52,1780000000.0,317000000000.0,9211962.0,17438371.42,19009309.35,3639285.0,217000000.0,270000000.0,2.66,0.0,-118.72000000000116,11024.51
16634.24,1200000000.0,320000000000.0,9211006.0,17437615.11,19011715.03,3793362.0,285000000.0,256000000.0,3.04,-121.54999999999927,-97.34999999999854,11024.51
16731.59,2620000000.0,321000000000.0,9210193.0,17436663.46,19008543.69,3968703.0,1810000000.0,544000000.0,3.19,1.1000000000003638,137.8199999999997,11146.06
16593.77,2490000000.0,319000000000.0,9209293.0,17435675.42,19008968.82,3910018.0,586000000.0,1440000000.0,2.95,-38.70000000000073,-63.27000000000044,11144.96
16657.04,3210000000.0,320000000000.0,9208393.0,17434801.99,19007672.93,3787939.0,715000000.0,1170000000.0,3.07,-174.75,-176.52000000000044,11183.66
16833.56,4740000000.0,323000000000.0,9207431.0,17433518.07,19009938.79,3690334.0,999000000.0,920000000.0,3.25,162.1900000000005,363.64000000000306,11358.41
16469.92,6490000000.0,316000000000.0,9206643.0,17432641.45,19006863.19,3581645.0,918000000.0,1110000000.0,2.83,0.0,-112.91000000000349,11196.22
16582.83,2980000000.0,319000000000.0,9205818.0,17431701.57,19004813.27,3490866.0,507000000.0,699000000.0,2.6,0.0,-233.05999999999767,11196.22
16815.89,2800000000.0,323000000000.0,9204775.0,17431007.59,19008936.38,3435953.0,637000000.0,993000000.0,2.84,-127.11000000000058,-217.79999999999927,11196.22
17033.69,7760000000.0,327000000000.0,9203962.0,17430067.77,19009592.61,3356510.0,723000000.0,1590000000.0,3.23,209.1800000000003,46.849999999998545,11323.33
